cliente_id,nombre_organizacion,tipo_org,pais,sector,criticidad
1,Banca Privada OLMJ S.L.N.E,Empresa Privada,Francia,Gobierno,Baja
2,Suministros BL S.Coop.,Organización de Salud,Estados Unidos,Gobierno,Media
3,Grupo Rivas S.A.T.,Gobierno Estatal,Israel,Energía,Alta
4,Alimentación Cuervo y asociados S.Com.,Empresa Privada,Reino Unido,Energía,Media
5,Fábrica Navarro S.A.,Gobierno Federal,Reino Unido,Finanzas,Media
6,Caballero y Palomar S.L.L.,Gobierno Estatal,Australia,Telecomunicaciones,Alta
7,,Empresa Privada,Estados Unidos,Telecomunicaciones,Alta
8,Bermúdez y Marcos S.L.L.,Empresa Privada,Israel,Gobierno,Media
9,Fernandez & Asociados S.A.,Gobierno Federal,Australia,Educación,Baja
10,Instalaciones Española S.L.L.,Empresa Privada,Japón,Energía,Baja
11,Restauración XRI S.Com.,ONG,Canadá,Energía,Alta
12,Comercializadora Donoso & Asociados S.A.,Empresa Privada,Estados Unidos,Tecnología,Baja
13,Lerma y Gimenez S.L.,Gobierno Federal,Canadá,Finanzas,Media
14,Grupo Antón S.L.,Organización de Salud,Canadá,Defensa,Alta
15,Leal y Batalla S.A.T.,Gobierno Estatal,,Gobierno,Baja
16,Garcia y asociados S.Com.,Empresa Privada,Reino Unido,Gobierno,Baja
17,Eric Landa Chaparro S.A.U,ONG,Estados Unidos,Defensa,Media
18,Suministros Pujol y asociados S.A.T.,Empresa Privada,Estados Unidos,Defensa,Media
19,Transportes Bou S.L.,Gobierno Federal,Estados Unidos,Defensa,Media
20,Despacho IJFU S.Coop.,Empresa Privada,Estados Unidos,Salud,Baja
21,Benigna Iglesias Alberdi S.L.,ONG,Reino Unido,Salud,Baja
22,Inmobiliaria RPIA S.L.,Empresa Privada,Japón,Educación,Alta
23,,Empresa Privada,Estados Unidos,Gobierno,Alta
24,Finanzas Coronado y asociados S.L.,Empresa Privada,Canadá,Finanzas,Alta
25,Hermanos Torres S.A.,Gobierno Federal,Francia,Tecnología,Alta
26,Meléndez & Asociados S.A.,ONG,Reino Unido,Tecnología,Baja
27,Compañía ZDNN S.A.,Organización de Salud,Estados Unidos,Educación,Baja
28,Carmela Dalmau Landa S.Coop.,Desconocido,Israel,Telecomunicaciones,Media
29,Galán y Font S.L.,Empresa Privada,Canadá,Finanzas,Baja
30,Perea y Ríos S.L.N.E,Organización de Salud,Australia,Defensa,Alta
31,Dionisio Huguet Gomila S.A.,Gobierno Federal,Estados Unidos,Salud,Alta
32,Grupo Giménez S.A.,Institución Educativa,Reino Unido,Salud,Baja
33,Grupo Bauzà S.L.N.E,Empresa Privada,,Telecomunicaciones,Baja
34,Belda & Asociados S.C.P,Institución Educativa,Estados Unidos,Telecomunicaciones,Media
35,Iker Catalán Suárez S.A.U,Gobierno Estatal,Japón,Gobierno,Baja
36,Noemí Ramírez Falcón S.A.,Empresa Privada,Alemania,Defensa,Alta
37,Pablo y Roda S.Com.,Gobierno Estatal,Estados Unidos,Tecnología,Alta
38,Familia Barrera S.Com.,Empresa Privada,Japón,Telecomunicaciones,Baja
39,Canales & Asociados S.A.,Empresa Privada,Israel,Telecomunicaciones,Alta
40,Enrique Roca Español S.C.P,Gobierno Federal,Israel,Energía,Media
41,,Organización de Salud,Alemania,Telecomunicaciones,Media
42,Comercial ZRYW S.L.L.,Empresa Privada,Estados Unidos,Finanzas,Media
43,Soluciones Torralba S.Coop.,Organización de Salud,Alemania,Gobierno,Alta
44,Barral y Cózar S.Com.,Empresa Privada,Estados Unidos,Tecnología,Alta
45,Lara y Sanz S.C.P,Empresa Privada,Canadá,Finanzas,
46,Fabián Falcó Martin S.A.T.,Organización de Salud,Estados Unidos,Salud,Baja
47,Familia Mir S.A.,Empresa Privada,Estados Unidos,Tecnología,Baja
48,Ani Criado Barberá S.L.N.E,Empresa Privada,Reino Unido,Gobierno,Baja
49,Farmaceútica EJ S.A.U,Empresa Privada,Reino Unido,Tecnología,Alta
50,Industrias EGVE S.Coop.,Gobierno Federal,Alemania,Finanzas,Media
12,Entidad Duplicada S.A.,Empresa Privada,Estados Unidos,Tecnología,Media
