evento_id,timestamp,tipo_evento,fase_ciclo_vida,area_dama
49.0,2020-12-05 22:01:48,reconocimiento,Descubrimiento,Data Architecture
74.0,2020-12-20 04:37:02,conexion_c2,Compromiso,Data Security
10.0,2020-09-26 11:07:23,acceso_normal,Operación,Data Operations
7.0,2020-08-02 17:25:43,acceso_normal,Operación,Data Operations
21.0,2020-09-05 00:18:01,acceso_normal,Operación,Data Operations
182.0,2020-04-10 19:25:21,alerta_ids,Monitoreo,Data Governance
28.0,2020-06-29 10:48:07,descarga_datos,Uso,Data Security
68.0,2020-10-15 15:07:37,acceso_normal,Operación,Data Operations
193.0,2021-02-23 07:35:47,reconocimiento,Descubrimiento,Data Architecture
15.0,2020-02-01 03:12:31,acceso_normal,Operación,Data Operations
186.0,2019-12-19 08:59:41,persistencia,Mantenimiento,Data Integration
99.0,2020-07-03 19:00:36,modificacion_logs,Auditoría,Metadata Management
151.0,2021-03-06 17:03:17,acceso_normal,Operación,Data Operations
42.0,2021-01-01 07:51:15,exfiltracion,Compromiso,Data Security
32.0,2021-03-26 00:04:59,descarga_datos,Uso,Data Security
26.0,2020-09-23 19:59:48,acceso_normal,Operación,Data Operations
51.0,2020-07-16 11:28:12,persistencia,Mantenimiento,Data Integration
177.0,2021-01-11 13:06:16,acceso_normal,Operación,Data Operations
184.0,2020-08-15 06:30:31,alerta_ids,Monitoreo,Data Governance
190.0,2020-03-02 19:36:03,alerta_ids,Monitoreo,Data Governance
11.0,2020-08-27 08:27:06,movimiento_lateral,Incidente,Data Quality
142.0,2020-07-25 07:24:17,movimiento_lateral,Incidente,Data Quality
188.0,2020-11-04 17:05:17,descarga_datos,Uso,Data Security
100.0,2020-06-23 16:04:59,descarga_datos,Uso,Data Security
131.0,2020-11-22 21:42:45,reconocimiento,Descubrimiento,Data Architecture
178.0,2020-07-16 01:23:07,descarga_datos,Uso,Data Security
108.0,2020-09-04 14:35:44,movimiento_lateral,Incidente,Data Quality
197.0,2020-12-20 11:29:40,acceso_normal,Operación,Data Operations
180.0,2020-12-25 21:50:23,alerta_ids,Monitoreo,Data Governance
57.0,2020-09-09 13:30:51,alerta_ids,Monitoreo,Data Governance
85.0,2020-09-26 08:25:56,descarga_datos,Uso,Data Security
129.0,2020-12-27 01:52:43,acceso_normal,Operación,Data Operations
187.0,2020-03-31 18:54:45,acceso_normal,Operación,Data Operations
149.0,2020-10-23 13:51:28,alerta_ids,Monitoreo,Data Governance
163.0,2021-03-24 05:59:06,reconocimiento,Descubrimiento,Data Architecture
,,,,
1.0,2021-01-08 10:23:52,reconocimiento,Descubrimiento,Data Architecture
41.0,2020-12-17 11:43:04,acceso_normal,Operación,Data Operations
115.0,2020-12-21 20:25:40,acceso_normal,Operación,Data Operations
143.0,2020-11-26 09:15:06,acceso_normal,Operación,Data Operations
39.0,2021-03-20 01:31:22,movimiento_lateral,Incidente,Data Quality
58.0,2021-03-07 03:52:22,acceso_normal,Operación,Data Operations
83.0,2021-02-17 02:26:28,acceso_normal,Operación,Data Operations
148.0,2021-03-21 09:33:29,alerta_ids,Monitoreo,Data Governance
90.0,2019-10-23 12:19:24,acceso_normal,Operación,Data Operations
146.0,2019-09-06 02:36:42,descarga_datos,Uso,Data Security
8.0,2021-03-01 13:22:59,reconocimiento,Descubrimiento,Data Architecture
24.0,2021-03-12 19:31:06,acceso_normal,Operación,Data Operations
97.0,2021-03-05 14:00:25,descarga_datos,Uso,Data Security
8.0,2021-03-01 13:22:59,reconocimiento,Descubrimiento,Data Architecture
24.0,2021-03-12 19:31:06,acceso_normal,Operación,Data Operations
97.0,2021-03-05 14:00:25,descarga_datos,Uso,Data Security
153.0,2021-03-13 06:55:45,persistencia,Mantenimiento,Data Integration
,,,,
89.0,2020-11-08 04:27:09,escalamiento_privilegios,Incidente,Data Quality
104.0,2021-01-07 05:32:22,descarga_datos,Uso,Data Security
33.0,2020-09-22 13:52:05,movimiento_lateral,Incidente,Data Quality
63.0,2021-03-15 18:38:02,conexion_c2,Compromiso,Data Security
67.0,2020-04-17 14:30:00,escalamiento_privilegios,Incidente,Data Quality
119.0,2020-10-29 06:00:31,acceso_normal,Operación,Data Operations
191.0,2020-12-24 03:57:52,escalamiento_privilegios,Incidente,Data Quality
198.0,2021-01-06 19:27:56,alerta_ids,Monitoreo,Data Governance
54.0,2020-10-29 02:48:34,escalamiento_privilegios,Incidente,Data Quality
,,,,
48.0,2021-02-19 09:57:18,modificacion_logs,Auditoría,Metadata Management
111.0,2021-01-11 07:17:24,alerta_ids,Monitoreo,Data Governance
2.0,2021-01-11 01:59:20,acceso_normal,Operación,Data Operations
36.0,2020-07-28 09:01:25,reconocimiento,Descubrimiento,Data Architecture
38.0,2020-09-12 19:00:07,escalamiento_privilegios,Incidente,Data Quality
55.0,2020-09-22 12:22:24,conexion_c2,Compromiso,Data Security
94.0,2020-05-02 04:35:23,acceso_normal,Operación,Data Operations
130.0,2020-10-24 16:49:50,conexion_c2,Compromiso,Data Security
29.0,2021-03-17 02:15:40,conexion_c2,Compromiso,Data Security
105.0,2021-03-16 07:39:50,descarga_datos,Uso,Data Security
116.0,2020-05-28 10:58:43,alerta_ids,Monitoreo,Data Governance
152.0,2021-03-12 23:03:11,alerta_ids,Monitoreo,Data Governance
73.0,2021-02-26 00:33:40,modificacion_logs,Auditoría,Metadata Management
77.0,2020-09-24 11:00:53,descarga_datos,Uso,Data Security
88.0,2020-11-24 22:45:42,conexion_c2,Compromiso,Data Security
127.0,2021-03-16 18:47:18,reconocimiento,Descubrimiento,Data Architecture
14.0,2021-03-13 18:31:38,descarga_datos,Uso,Data Security
107.0,2021-01-22 22:32:03,acceso_normal,Operación,Data Operations
173.0,2021-03-29 20:46:15,modificacion_logs,Auditoría,Metadata Management
16.0,2020-06-26 11:43:19,persistencia,Mantenimiento,Data Integration
69.0,2020-06-28 17:27:27,acceso_normal,Operación,Data Operations
196.0,2020-07-26 12:22:46,reconocimiento,Descubrimiento,Data Architecture
,,,,
,,,,
43.0,2021-03-07 18:27:57,acceso_normal,Operación,Data Operations
159.0,2021-01-08 10:58:33,persistencia,Mantenimiento,Data Integration
17.0,2021-03-18 06:32:00,acceso_normal,Operación,Data Operations
126.0,2021-03-14 13:30:54,modificacion_logs,Auditoría,Metadata Management
12.0,2020-06-14 23:36:34,acceso_normal,Operación,Data Operations
200.0,2021-03-13 01:08:36,escalamiento_privilegios,Incidente,Data Quality
81.0,2021-01-13 23:04:33,alerta_ids,Monitoreo,Data Governance
56.0,2021-03-27 12:58:18,escalamiento_privilegios,Incidente,Data Quality
165.0,2020-07-05 11:38:01,acceso_normal,Operación,Data Operations
167.0,2020-06-18 14:29:36,exfiltracion,Compromiso,Data Security
113.0,2020-09-03 08:21:10,descarga_datos,Uso,Data Security
66.0,2020-12-09 10:59:36,acceso_normal,Operación,Data Operations
72.0,2020-07-14 17:31:46,acceso_normal,Operación,Data Operations
76.0,2021-02-22 01:27:30,acceso_normal,Operación,Data Operations
132.0,2020-10-03 20:41:35,reconocimiento,Descubrimiento,Data Architecture
164.0,2020-06-02 09:09:31,alerta_ids,Monitoreo,Data Governance
22.0,2021-03-15 16:37:23,reconocimiento,Descubrimiento,Data Architecture
25.0,2020-12-28 17:22:30,escalamiento_privilegios,Incidente,Data Quality
35.0,2020-11-14 21:57:02,acceso_normal,Operación,Data Operations
37.0,2020-09-22 22:25:34,reconocimiento,Descubrimiento,Data Architecture
53.0,2020-03-01 12:10:28,descarga_datos,Uso,Data Security
123.0,2020-05-04 06:28:07,acceso_normal,Operación,Data Operations
133.0,2020-02-03 20:41:21,reconocimiento,Descubrimiento,Data Architecture
13.0,2020-10-22 04:25:54,acceso_normal,Operación,Data Operations
103.0,2021-03-24 03:24:44,persistencia,Mantenimiento,Data Integration
140.0,2020-05-20 01:11:18,persistencia,Mantenimiento,Data Integration
157.0,2020-07-17 02:37:12,reconocimiento,Descubrimiento,Data Architecture
110.0,2020-03-19 09:39:37,acceso_normal,Operación,Data Operations
138.0,2021-02-08 12:42:33,acceso_normal,Operación,Data Operations
34.0,2020-05-10 00:51:20,descarga_datos,Uso,Data Security
189.0,2020-08-21 18:34:28,modificacion_logs,Auditoría,Metadata Management
98.0,2020-10-13 00:05:49,acceso_normal,Operación,Data Operations
122.0,2020-12-04 06:02:31,acceso_normal,Operación,Data Operations
160.0,2020-11-16 15:12:27,reconocimiento,Descubrimiento,Data Architecture
183.0,2021-01-24 22:43:48,reconocimiento,Descubrimiento,Data Architecture
59.0,2020-08-12 04:34:22,descarga_datos,Uso,Data Security
137.0,2020-06-02 21:21:04,alerta_ids,Monitoreo,Data Governance
9.0,2020-09-08 12:40:28,movimiento_lateral,Incidente,Data Quality
121.0,2020-06-14 21:27:48,acceso_normal,Operación,Data Operations
161.0,2020-10-21 23:39:33,escalamiento_privilegios,Incidente,Data Quality
101.0,2021-02-28 11:34:34,alerta_ids,Monitoreo,Data Governance
,,,,
172.0,2020-01-27 14:13:19,persistencia,Mantenimiento,Data Integration
61.0,2020-11-26 04:37:18,alerta_ids,Monitoreo,Data Governance
92.0,2020-12-26 12:05:36,descarga_datos,Uso,Data Security
194.0,2021-01-05 05:44:40,modificacion_logs,Auditoría,Metadata Management
,,,,
,,,,
,,,,
52.0,2021-01-23 07:28:25,conexion_c2,Compromiso,Data Security
71.0,2020-12-20 01:09:55,alerta_ids,Monitoreo,Data Governance
114.0,2020-12-30 00:53:54,acceso_normal,Operación,Data Operations
166.0,2021-02-09 23:44:34,conexion_c2,Compromiso,Data Security
199.0,2020-03-27 23:27:46,descarga_datos,Uso,Data Security
27.0,2020-08-18 08:34:18,conexion_c2,Compromiso,Data Security
45.0,2021-02-14 06:04:21,alerta_ids,Monitoreo,Data Governance
,,,,
,,,,
19.0,2020-08-16 23:40:51,acceso_normal,Operación,Data Operations
40.0,2021-01-17 21:48:51,escalamiento_privilegios,Incidente,Data Quality
79.0,2021-01-09 01:17:29,reconocimiento,Descubrimiento,Data Architecture
80.0,2021-02-07 22:41:50,acceso_normal,Operación,Data Operations
120.0,2020-12-19 16:44:28,alerta_ids,Monitoreo,Data Governance
125.0,2020-06-13 23:13:31,acceso_normal,Operación,Data Operations
136.0,2020-12-01 07:10:35,movimiento_lateral,Incidente,Data Quality
87.0,2020-05-18 22:13:23,descarga_datos,Uso,Data Security
170.0,2020-09-01 14:14:31,acceso_normal,Operación,Data Operations
75.0,2021-01-21 08:45:00,alerta_ids,Monitoreo,Data Governance
176.0,2021-03-15 11:52:23,descarga_datos,Uso,Data Security
,,,,
,,,,
147.0,2020-03-19 21:24:12,exfiltracion,Compromiso,Data Security
86.0,2020-07-23 03:00:07,alerta_ids,Monitoreo,Data Governance
109.0,2020-12-17 01:26:30,escalamiento_privilegios,Incidente,Data Quality
78.0,2020-12-15 04:20:13,acceso_normal,Operación,Data Operations
134.0,2020-07-18 20:06:09,movimiento_lateral,Incidente,Data Quality
3.0,2020-11-13 09:27:59,descarga_datos,Uso,Data Security
20.0,2021-01-06 04:48:55,acceso_normal,Operación,Data Operations
64.0,2021-03-01 00:02:12,movimiento_lateral,Incidente,Data Quality
171.0,2020-09-19 16:34:12,conexion_c2,Compromiso,Data Security
,,,,
31.0,2020-11-12 05:44:50,acceso_normal,Operación,Data Operations
141.0,2020-11-29 16:46:11,acceso_normal,Operación,Data Operations
6.0,2021-02-14 16:35:49,descarga_datos,Uso,Data Security
112.0,2020-12-03 23:36:07,acceso_normal,Operación,Data Operations
128.0,2020-12-09 09:01:02,alerta_ids,Monitoreo,Data Governance
195.0,2021-02-20 01:38:05,reconocimiento,Descubrimiento,Data Architecture
84.0,2021-03-20 21:20:05,acceso_normal,Operación,Data Operations
50.0,2020-07-05 00:50:42,exfiltracion,Compromiso,Data Security
174.0,2021-02-14 05:14:33,descarga_datos,Uso,Data Security
,,,,
93.0,2020-07-31 03:29:10,acceso_normal,Operación,Data Operations
135.0,2020-06-13 01:59:53,descarga_datos,Uso,Data Security
144.0,2021-03-11 20:06:08,descarga_datos,Uso,Data Security
93.0,2020-07-31 03:29:10,acceso_normal,Operación,Data Operations
