instalacion_id,cliente_id,version_id,fecha_instalacion,nivel_datos_sensibles
1,11,6,2020-07-05,Crítico
2,6,3,2020-04-12,Bajo
3,36,6,2020-07-08,Medio
4,20,7,2020-11-24,Bajo
5,39,6,2020-09-09,Alto
6,25,6,2020-08-08,Crítico
7,35,7,2020-09-21,Alto
8,49,7,2020-09-16,Crítico
9,5,8,2021-01-21,Crítico
10,41,2,2020-01-05,Alto
11,24,7,2020-11-07,Alto
12,11,6,2020-08-30,Crítico
13,35,6,2020-09-16,Alto
14,46,1,2020-01-12,Medio
15,41,5,2020-04-28,Bajo
16,48,5,2020-04-15,Medio
17,3,6,2020-07-06,Medio
18,22,6,2020-07-11,Medio
19,45,8,2021-02-04,Crítico
20,34,6,2020-07-10,Medio
21,33,6,2020-08-27,Medio
22,4,5,2020-04-30,Crítico
23,44,1,2019-11-21,Crítico
24,35,8,2021-01-21,Crítico
25,31,5,2020-05-25,Crítico
26,21,3,2020-02-24,Crítico
27,18,3,2020-02-17,Medio
28,3,7,2020-10-30,Bajo
29,22,6,2020-07-12,Bajo
30,2,6,2020-09-17,Crítico
31,43,6,2020-08-06,Alto
32,26,3,2020-03-13,Crítico
33,7,8,2021-02-10,Alto
34,8,2,2020-01-02,Bajo
35,15,7,2020-11-19,Alto
36,25,6,2020-08-16,Alto
37,22,3,2020-03-12,Bajo
38,43,7,2020-11-13,Alto
39,44,7,2020-09-19,Medio
40,32,7,2020-10-31,Alto
41,16,1,2019-11-04,Crítico
42,19,6,2020-07-06,Medio
43,26,5,2020-06-24,Crítico
44,9,7,2020-09-26,Medio
45,1,2,2020-01-20,Bajo
46,25,1,2019-10-23,Crítico
47,5,6,2020-07-11,Alto
48,26,1,2019-11-07,Medio
49,29,1,2020-01-08,Bajo
50,30,1,2019-12-23,Crítico
51,26,5,2020-06-24,Medio
52,33,5,2020-04-18,Bajo
53,36,8,2021-01-18,Bajo
54,19,1,2019-12-19,Medio
55,45,6,2020-06-23,Crítico
56,2,8,2021-01-16,Crítico
57,50,6,2020-07-24,Alto
58,43,5,2020-04-07,Alto
59,10,8,2021-01-27,Bajo
60,31,1,2019-12-07,Bajo
61,35,1,2020-01-17,Bajo
62,26,3,2020-04-06,Bajo
63,41,7,2020-09-21,Bajo
64,45,6,2020-09-02,Crítico
65,21,6,2020-07-25,Medio
66,35,7,2020-11-02,Alto
67,49,1,2019-11-15,Alto
68,12,6,2020-08-13,Crítico
69,41,7,2020-10-14,Crítico
70,48,6,2020-09-16,Medio
71,49,7,2020-09-26,Crítico
72,9,7,2020-11-24,Crítico
73,19,6,2020-07-05,Medio
74,25,3,2020-03-15,Crítico
75,23,7,2020-09-30,Alto
76,42,1,2019-12-19,Bajo
77,5,6,2020-07-24,Crítico
78,18,4,2020-05-20,Alto
79,17,7,2020-09-21,Medio
80,9,2,2020-02-05,Crítico
81,29,1,2019-11-28,Medio
82,45,6,2020-08-23,Crítico
83,7,2,2020-03-15,Alto
84,31,4,2020-03-24,Alto
85,27,6,2020-09-01,Crítico
86,3,1,2019-12-06,Bajo
87,20,5,2020-06-06,Bajo
88,1,6,2020-06-22,Medio
89,49,8,2021-01-09,Alto
90,6,2,2020-02-13,Bajo
91,47,8,2021-01-05,Bajo
92,37,8,2021-01-20,Alto
93,18,8,2021-01-31,Alto
94,31,6,2020-06-20,Alto
95,16,6,2020-09-14,Bajo
96,32,3,2020-02-08,Crítico
97,28,5,2020-04-03,Bajo
98,8,6,2020-08-16,Bajo
99,37,3,2020-03-04,Medio
100,17,5,2020-06-07,Bajo
