tabla,columna,metrica,valor_actual,umbral,estado
clientes,cliente_id,Completitud,100.0,95.0,APROBADO
clientes,cliente_id,Exactitud,100.0,90.0,APROBADO
clientes,nombre_organizacion,Completitud,100.0,95.0,APROBADO
clientes,nombre_organizacion,Exactitud,100.0,90.0,APROBADO
clientes,tipo_org,Completitud,100.0,95.0,APROBADO
clientes,tipo_org,Exactitud,100.0,90.0,APROBADO
clientes,pais,Completitud,100.0,95.0,APROBADO
clientes,pais,Exactitud,100.0,90.0,APROBADO
clientes,sector,Completitud,100.0,95.0,APROBADO
clientes,sector,Exactitud,100.0,90.0,APROBADO
clientes,criticidad,Completitud,100.0,95.0,APROBADO
clientes,criticidad,Exactitud,100.0,90.0,APROBADO
versiones_software,version_id,Completitud,100.0,95.0,APROBADO
versiones_software,version_id,Exactitud,100.0,90.0,APROBADO
versiones_software,nombre_version,Completitud,100.0,95.0,APROBADO
versiones_software,nombre_version,Exactitud,100.0,90.0,APROBADO
versiones_software,fecha_release,Completitud,100.0,95.0,APROBADO
versiones_software,fecha_release,Exactitud,100.0,90.0,APROBADO
versiones_software,contiene_sunburst,Completitud,100.0,95.0,APROBADO
versiones_software,contiene_sunburst,Exactitud,100.0,90.0,APROBADO
versiones_software,fecha_compilacion,Completitud,100.0,95.0,APROBADO
versiones_software,fecha_compilacion,Exactitud,100.0,90.0,APROBADO
instalaciones,instalacion_id,Completitud,100.0,95.0,APROBADO
instalaciones,instalacion_id,Exactitud,100.0,90.0,APROBADO
instalaciones,cliente_id,Completitud,100.0,95.0,APROBADO
instalaciones,cliente_id,Exactitud,100.0,90.0,APROBADO
instalaciones,version_id,Completitud,100.0,95.0,APROBADO
instalaciones,version_id,Exactitud,100.0,90.0,APROBADO
instalaciones,fecha_instalacion,Completitud,100.0,95.0,APROBADO
instalaciones,fecha_instalacion,Exactitud,100.0,90.0,APROBADO
instalaciones,nivel_datos_sensibles,Completitud,100.0,95.0,APROBADO
instalaciones,nivel_datos_sensibles,Exactitud,100.0,90.0,APROBADO
instalaciones,cliente_id (FK),Consistencia,100.0,100.0,APROBADO
instalaciones,version_id (FK),Consistencia,100.0,100.0,APROBADO
instalaciones,fecha_instalacion vs fecha_release,Consistencia,100.0,100.0,APROBADO
